lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
yarıiletken	NOUN	1	0	1	0	0	0	1	0	Science & Technology	technology	1	1	0.0003242542153	0.1215449629	2.385766961	11	5
yarık	NOUN	123	24	99	37	3	0	59	24	Earth, Geography & Natural Phenomena	geographical features	62	22	0.02010376135	14.95003043	4.178158651	5	2
yarıküre	NOUN	3	0	3	0	0	0	3	0	Earth, Geography & Natural Phenomena	geography	3	2	0.0009727626459	0.3646348887	2.686796957	8	4
yarılamak	VERB	16	5	11	9	0	0	2	5	Other	other	14	11	0.004539559014	1.944719406	3.315185887	9	4
yarılanmak	VERB	1	0	1	1	0	0	0	0	Time, Numbers & Measurement	units of measurement	1	1	0.0003242542153	0.1215449629	2.385766961	10	4
yarılmak	VERB	38	9	29	26	1	0	2	9	Other	other	35	13	0.01134889754	4.61870859	3.675801572	8	3
yarım	ADJ	1728	507	1221	316	580	42	325	465	Time, Numbers & Measurement	units of measurement	611	9	0.1981193256	210.0296959	5.322531959	5	2
yarım	NOUN	28	5	23	2	14	3	7	2	Time, Numbers & Measurement	units of measurement	19	8	0.006160830091	3.403258961	3.547134963	5	2
yarım küre	NOUN	101	0	101	0	0	0	101	0	Earth, Geography & Natural Phenomena	geography	38	19	0.01232166018	12.27604125	4.093337137	9	4
yarımada	NOUN	97	5	92	31	13	0	48	5	Earth, Geography & Natural Phenomena	geographical features	55	25	0.01783398184	11.7898614	4.075963041	8	4
yarımay	NOUN	3	0	3	0	0	0	3	0	Other	planets	2	1	0.0006485084306	0.3646348887	2.686796957	7	3
yarımcı	NOUN	1	0	1	1	0	0	0	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
yarımküre	NOUN	13	0	13	0	0	0	13	0	Earth, Geography & Natural Phenomena	geography	11	7	0.003566796368	1.580084518	3.230865001	9	4
yarımşar	ADJ	6	0	6	0	1	0	5	0	Time, Numbers & Measurement	units of measurement	6	1	0.001945525292	0.7292697773	2.929835005	8	3
yarın	ADV	53	35	18	13	3	0	2	35	Time, Numbers & Measurement	time	49	5	0.01588845655	6.441883033	3.817130725	5	2
yarın	NOUN	2009	1199	810	619	141	21	50	1178	Time, Numbers & Measurement	time	814	31	0.2639429313	244.1838304	5.387933023	5	2
yarısaydam	NOUN	8	0	8	0	0	0	8	0	Personality, Values & Behavior	appearance	3	2	0.0009727626459	0.9723597031	3.038979475	10	4
yarıyıl	NOUN	24	3	21	9	5	0	7	3	Education & Language	education	17	3	0.00551232166	2.917079109	3.482676974	7	3
yarıçap	NOUN	22	0	22	0	0	0	22	0	Space, Shapes & Properties	geometrical shapes	14	10	0.004539559014	2.673989183	3.446464801	7	3
yarış	NOUN	1889	1109	780	184	94	3	502	1106	Sports, Games & Recreation	sports	455	91	0.147535668	229.5984349	5.36119877	5	2
yarışma	NOUN	1820	733	1087	373	184	9	530	724	Sports, Games & Recreation	sports	448	68	0.1452658885	221.2118325	5.345046911	7	3
yarışmacı	NOUN	288	174	114	35	12	0	67	174	Sports, Games & Recreation	sports	116	25	0.03761348898	35.00494931	4.545634808	9	4
yarışmak	VERB	834	455	379	139	46	0	194	455	Sports, Games & Recreation	sports	392	142	0.1271076524	101.368499	5.006423441	8	3
yarışsever	NOUN	7	7	0	0	0	0	0	7	Sports, Games & Recreation	sports	6	1	0.001945525292	0.8508147402	2.987826952	10	4
yarıştırmak	VERB	16	3	13	2	1	0	10	3	Other	other	13	11	0.004215304799	1.944719406	3.315185887	11	4
yarışçı	NOUN	66	47	19	1	0	0	18	47	Work & Economy	occupations	24	24	0.007782101167	8.02196755	3.910811768	7	3
yas	NOUN	64	12	52	32	13	0	7	12	Emotions & Mental Processes	emotions	45	16	0.01459143969	7.778877625	3.897650322	3	1
yasa	NOUN	264	50	214	30	107	1	77	49	Transportation, Travel & Safety	safety rules	97	41	0.03145265888	32.0878702	4.507982839	4	2
yasadışı	ADJ	14	7	7	2	0	0	5	7	Emotions & Mental Processes	general rules	13	2	0.004215304799	1.70162948	3.260828224	8	4
yasak	NOUN	698	416	282	175	72	11	35	405	Emotions & Mental Processes	general rules	316	25	0.102464332	84.83838409	4.929214141	5	2
yasaklamak	VERB	153	69	84	40	27	1	17	68	Other	other	116	37	0.03761348898	18.59637932	4.272257686	10	4
yasaklanmak	VERB	3	0	3	2	0	0	1	0	Emotions & Mental Processes	general rules	2	2	0.0006485084306	0.3646348887	2.686796957	11	4
yasaklı	ADJ	7	1	6	5	0	0	1	1	Emotions & Mental Processes	general rules	6	1	0.001945525292	0.8508147402	2.987826952	7	3
yasal	ADJ	55	20	35	4	23	0	8	20	People & Relationships	culture and society	35	2	0.01134889754	6.684972959	3.832924992	5	2
yasalaştırmak	VERB	1	0	1	0	1	0	0	0	Emotions & Mental Processes	general rules	1	1	0.0003242542153	0.1215449629	2.385766961	13	5
yasallaşmak	VERB	2	2	0	0	0	0	0	2	Emotions & Mental Processes	general rules	1	2	0.0003242542153	0.2430899258	2.56185822	11	4
yasama	NOUN	6	0	6	0	5	0	1	0	Emotions & Mental Processes	general rules	6	1	0.001945525292	0.7292697773	2.929835005	6	3
