word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
ipek	5.11	6.24	2	4	407	49.54	353	81.19	54	1.81	0.89	1.71	0.71
işaret	3.77	5.18	3	6	5671	690.24	1407	320.64	127	3.83	2.1	2.26	1.04
ishal	4.67	5.72	2	5	25	3.04	12	2.73	32	2.92	1.68	2.23	1.05
iskele	5.93	6.71	3	6	140	17.04	232	52.87	50	1.62	0.75	1.56	0.58
iskelet	6.03	6.72	3	7	246	29.94	109	25.07	26	2.83	1.69	2.1	0.99
işlemci	3.15	5.76	3	7	93	11.32	4	0.91	10	2.33	1.4	2.08	1
itiraz	3.6	2.48	3	6	315	38.34	268	61.07	53	2.91	1.88	2.38	1.26
iyi	2.76	1.42	2	3	22427	2,729.67	12580	2866.81	1907	2.85	1.53	2.33	1.03
iyilik	2.79	1.46	3	6	240	29.21	0	0	47	2.14	1.22	1.79	0.72
izlenim	2.23	2.46	3	7	69	8.4	78	17.78	56	4.91	2.15	2.85	1.33
ılık	4.16	4.63	2	4	184	22.4	160	36.46	54	3.08	1.75	2.43	0.93
ıslak	5.25	5.91	2	5	313	38.1	329	74.97	50	1.86	1.05	1.57	0.64
ıslık	4.81	5.49	2	5	225	27.39	236	53.78	20	1.95	0.98	1.66	0.69
ısrar	2.84	2.04	2	5	365	44.43	424	96.62	52	4.43	2.19	2.63	1.24
kabin	5.59	6.7	2	5	150	18.26	79	18	34	3.78	2.07	2.49	1.09
kablo	6.07	6.87	2	5	535	65.12	59	13.45	90	2.48	1.51	1.93	0.79
kaçak	3.78	4.29	2	5	171	20.81	154	35.09	54	3.29	1.86	2.39	1.01
kadeh	6.35	6.75	2	5	32	3.89	42	9.66	65	3.45	2.04	2.65	1.21
kadın	6.27	6.24	2	5	2733	332.64	5159	1186.57	1898	1.77	0.93	1.52	0.58
kafiye	4.27	3.93	3	6	56	6.82	8	1.82	14	4.35	2.01	3.67	1.42
kâğıt	6.56	6.83	2	5	5527	672.71	2280	524.4	323	1.7	0.82	1.59	0.63
kahpe	3.5	3.46	2	5	1	0.12	13	2.99	3	4.6	2.19	3.11	1.46
kahvaltı	6.25	6.37	3	8	1409	171.49	803	182.99	71	1.71	0.9	1.59	0.66
kambur	5.41	5.79	2	6	151	18.38	77	17.55	13	2.87	1.61	2.49	1.03
kamera	6.58	6.76	3	6	1077	131.09	356	81.13	87	3.51	2.25	1.97	0.84
kamyon	6.49	6.96	2	6	612	74.49	218	49.68	84	1.86	0.97	1.67	0.68
kan	6.09	6.7	1	3	1640	199.61	1878	431.94	371	1.71	0.82	1.63	0.74
kanca	5.39	6.72	2	5	171	20.81	26	5.93	4	3.04	1.81	2.43	1.16
kapak	5.63	6.69	2	5	1536	186.95	845	192.56	142	1.84	1.01	1.64	0.74
kapı	6.74	6.86	2	4	7543	918.08	9025	2056.68	817	1.56	0.7	1.53	0.63
kapüşon	4.42	6.28	3	7	39	4.75	21	4.79	4	3.45	2.14	2.31	1.21
karar	3.23	2.47	2	5	3826	465.68	3805	875.15	622	2.99	1.76	2.23	0.91
kararlı	2.74	2.46	3	7	307	37.37	0	0	66	3.17	1.82	2.17	1.01
kargo	4.94	6.11	2	5	252	30.67	27	6.15	11	4.52	2.2	2.6	1.14
karınca	6.44	6.88	3	7	1776	216.16	1291	294.2	33	1.6	0.62	1.65	0.59
karışık	3.5	2.9	3	7	694	84.47	269	61.3	58	2.34	1.36	1.91	0.73
karton	5.46	6.77	2	6	1470	178.92	120	27.35	22	2.13	1.14	1.89	0.71
kas	5.49	6.51	1	3	785	95.55	266	61.18	172	2.72	1.59	2.07	0.95
kaşık	6.71	6.86	2	5	1007	122.57	256	58.34	102	4.2	2.22	3.45	1.64
kasnak	4.02	6.36	2	6	25	3.04	1	0.23	2	1.5	0.61	1.42	0.53
katil	4.42	5.82	2	5	124	15.09	99	22.77	68	2.81	1.7	2.19	1.03
kavga	4.13	3.77	2	5	561	68.28	841	191.65	99	1.82	0.98	1.75	0.8
kaygan	4.74	4.96	2	6	85	10.35	57	12.99	14	2.78	1.69	2.19	0.85
kayıp	2.85	3.04	2	5	962	117.09	545	124.2	161	2.18	1.07	2.05	0.71
kayısı	6.63	6.82	3	6	243	29.58	118	26.89	17	1.84	0.96	1.64	0.66
kazanç	3.54	4.1	2	6	156	18.99	91	20.74	65	3.2	1.83	2.28	0.89
kelebek	6.64	6.8	3	7	1304	158.71	195	44.44	19	1.62	0.64	1.53	0.64
kemik	6.21	6.82	2	5	1420	172.83	371	84.55	159	2.19	1.12	2.14	0.79
kepenk	5.91	6.76	2	6	31	3.77	40	9.12	16	3.62	2.02	2.84	1.4
kimya	3.58	4.49	2	5	307	37.37	262	59.71	50	1.77	0.93	1.66	0.69
kimyon	5.11	6.69	2	6	28	3.41	5	1.14	5	1.66	0.7	1.54	0.64
kitap	6.77	6.65	2	5	10945	1,332.15	6078	1385.09	816	1.7	0.73	1.54	0.61
kırık	5.03	5.72	2	5	779	94.81	715	162.94	75	1.53	0.84	1.38	0.63
kırmızı	6.42	4.32	3	7	4129	502.55	1938	441.64	224	4.53	2.04	3.18	1.43
kış	5.83	5.15	1	3	3039	369.89	1004	228.8	123	3.98	2.12	2.8	1.21
kız	6.32	6.11	1	3	7030	855.65	14626	3363.98	1088	1.65	0.69	1.54	0.65
koç	6.13	6.71	1	3	225	27.39	198	45.54	12	2.01	1.08	1.89	0.86
komik	3.91	2.59	2	5	1233	150.07	599	136.5	50	2.14	1.34	1.7	0.73
komşu	5.41	5.76	2	5	2449	298.08	1319	300.58	132	1.71	0.89	1.61	0.73
konfor	3.82	2.94	2	6	27	3.29	15	3.42	54	4.05	2.13	2.68	1.09
köpük	5.78	6.49	2	5	521	63.41	449	102.32	54	2.42	1.52	2	0.91
koridor	5.76	6.4	3	7	593	72.18	549	125.11	41	1.8	0.93	1.82	0.85
