lemma	pos	frequency	source	class	subclass
işin ucu birine dokunmak	VERB	1	literature	Education & Language	idioms
iskele almak	VERB	1	tubitak	Education & Language	idioms
işkembeden atmak	VERB	1	video	Education & Language	idioms
işkenceye sokmak	VERB	1	video	Violence & Conflict	violence
islim tutmak	VERB	1	tubitak	Education & Language	idioms
ismi çıkmak	VERB	1	literature	Education & Language	idioms
ismi gibi bilmek	VERB	1	literature	Education & Language	idioms
ismini bağışlamak	VERB	1	literature	Personality, Values & Behavior	behavior
ismini cismini bilmemek	VERB	1	literature	Education & Language	idioms
işportaya düşmek	VERB	1	video	Education & Language	idioms
israfa kaçmak	VERB	1	literature	Education & Language	idioms
iştah kapamak	VERB	1	video	Education & Language	idioms
iştahı kapanmak	VERB	1	video	Education & Language	idioms
iştahı yerinde olmak	VERB	1	video	Education & Language	idioms
işten güçten vakit bulamamak	VERB	1	literature	Education & Language	idioms
istifayı basmak	VERB	1	video	Work & Economy	occupations
istihdam etmek	VERB	1	meb	Work & Economy	occupations
istikrar bulmak	VERB	1	literature	Education & Language	idioms
iştiyak duymak	VERB	1	literature	Emotions & Mental Processes	emotions
it dişi domuz derisi	NA	1	tubitak	Education & Language	idioms
ithal etmek	VERB	1	meb	Food & Nutrition	food and drinks
izole etmek	VERB	1	video	Education & Language	idioms
ıkınıp sıkınmak	VERB	1	literature	Education & Language	idioms
ırgat gibi çalışmak	VERB	1	tubitak	Personality, Values & Behavior	diligence
ışığı altındamak	VERB	1	tubitak	Education & Language	idioms
ışıl ışıl yanmak	VERB	1	literature	Education & Language	idioms
ısıtıp ısıtıp önüne koymak	VERB	1	literature	Education & Language	idioms
ıska geçilmek	VERB	1	literature	Education & Language	idioms
ıska geçmek	VERB	1	literature	Education & Language	idioms
ıspazmoza tutulmak	VERB	1	tubitak	Education & Language	idioms
ısrarlı olmak	VERB	1	literature	Education & Language	idioms
ıssız kalmak	VERB	1	literature	Education & Language	idioms
ıssızlık çökmek	VERB	1	literature	Education & Language	idioms
ıstılah paralamak	VERB	1	literature	Education & Language	idioms
ızdırap çekmek	VERB	1	literature	Emotions & Mental Processes	emotions
kabadayılık taslamak	VERB	1	literature	Education & Language	idioms
kabahat etmek	VERB	1	video	Other	other
kabahat işlemek	VERB	1	video	Education & Language	idioms
kabak birinin başına patlamak	VERB	1	video	Education & Language	idioms
kabuksuz yumurtlatmak	VERB	1	tubitak	Education & Language	idioms
kaburgaları çıkmak	VERB	1	tubitak	Education & Language	idioms
kaburgaları sayılmak	VERB	1	literature	Education & Language	idioms
kaderini çizmek	VERB	1	video	Education & Language	idioms
kafası bulanmak	VERB	1	literature	Education & Language	idioms
kafası işlemek	VERB	1	tubitak	Emotions & Mental Processes	intelligence and reasoning
kafasını işletmek	VERB	1	video	Emotions & Mental Processes	intelligence and reasoning
kağnıyla tavşan avına çıkmak	VERB	1	video	Education & Language	idioms
kalafata çekmek	VERB	1	video	Education & Language	idioms
kalas gibi	NA	1	meb	Education & Language	idioms
kalbi ferahlamak	VERB	1	literature	Emotions & Mental Processes	emotions
kalbi parçalanmak	VERB	1	video	Education & Language	idioms
kalbiyle konuşmak	VERB	1	literature	Education & Language	idioms
kalem oynatmak	VERB	1	tubitak	Literature & Publishing	language and literature
kaleme kâğıda sarılmak	VERB	1	video	Education & Language	idioms
kaleminden kan damlamak	VERB	1	literature	Education & Language	idioms
kalemine dolamak	VERB	1	tubitak	Education & Language	idioms
kalemiyle yaşamak	VERB	1	tubitak	Education & Language	idioms
kalıbını dinlendirmek	VERB	1	literature	Education & Language	idioms
kalıp kesilmek	VERB	1	literature	Education & Language	idioms
kampa girmek	VERB	1	literature	Sports, Games & Recreation	sports
kamusal alan	NOUN	1	video	Places & Settlements	places
kana bulamak	VERB	1	video|literature	Education & Language	idioms
kapak atmak	VERB	1	literature	Education & Language	idioms
kapana koymak	VERB	1	literature	Education & Language	idioms
kapana tutulmak	VERB	1	literature	Education & Language	idioms
kapana yakalanmak	VERB	1	tubitak	Education & Language	idioms
kapılar üzerine kapanmak	VERB	1	literature	Education & Language	idioms
kara para aklamak	VERB	1	tubitak	Work & Economy	financial concepts
kara yazı	NOUN	1	tubitak	Education & Language	idioms
karakola düşmek	VERB	1	literature	Education & Language	idioms
karalar giymek	VERB	1	literature	Education & Language	idioms
karanlık kesilmek	VERB	1	meb	Education & Language	idioms
karine ile anlamak	VERB	1	literature	Education & Language	idioms
karnından konuşmak	VERB	1	video	Education & Language	idioms
kaş yaparken göz çıkarmak	VERB	1	video	Education & Language	idioms
kaş yaparken göz çıkartmak	VERB	1	video	Education & Language	idioms
kaş yapayım derken göz çıkarmak	VERB	1	video	Education & Language	idioms
